AP998,0.00,127.00,50.5090,6.9845
AP999,0.00,360.00,52.6360,10.0933
AR005,0.00,0.00,47.0705,7.5397
AR016,0.89,339.00,44.7425,10.9280
AR021,0.00,105.00,45.4593,12.0692
AR025,0.00,154.00,38.2575,15.5445
AR028,0.00,94.00,38.1672,15.8363
AR031,1.34,250.00,40.5842,22.9557
AR032,0.00,142.00,40.7503,22.8750
AR034,1.34,250.00,38.6377,21.4093
AR039,2.24,248.00,-27.3965,152.9552
AR053,0.00,234.00,-38.1833,147.2602
AR066,1.34,45.00,38.9457,-104.7388
AR106,0.00,210.00,37.0752,-119.4285
AR118,0.00,4.00,42.9933,1.2873
AR135,0.00,189.00,35.1007,-106.3403
AR136,0.00,96.00,45.0144,-122.7747
AR146,0.00,240.00,39.6747,-105.4183
AR147,2.24,200.00,41.3512,-96.5755
AR159,1.79,210.00,32.2185,-110.7677
AR160,0.00,0.00,44.7562,-124.0499
AR164,0.00,14.00,38.1838,-120.5400
AR172,0.00,25.00,37.0023,-121.9363
AR176,0.89,238.00,52.1828,0.9938
AR180,0.00,209.00,34.2040,-118.1380
AR181,0.00,256.00,34.1428,-117.9458
AR184,5.36,21.00,46.3168,-106.7042
AR189,0.00,3.00,30.3880,-98.0813
AR190,1.34,270.00,34.2233,-116.4093
AR193,0.45,241.00,47.2925,-122.2725
AR194,0.00,148.00,33.0093,-97.6977
AR209,1.34,83.00,44.4466,-93.1676
AR228,0.45,185.00,39.6250,-104.9795
AR232,0.00,134.00,44.1078,-123.1492
AR244,0.00,89.00,29.3887,-94.9355
AR245,0.00,360.00,47.6147,-117.1835
AR247,4.47,171.00,28.5668,-96.5553
AR264,0.00,290.00,33.7212,-111.9918
AR269,0.00,45.00,46.4727,-116.2473
AR285,2.24,157.00,-35.4227,149.0992
AR287,0.00,120.00,32.8745,-105.7743
AR288,0.00,178.00,30.3055,-98.3967
AR301,3.13,359.00,35.2208,-97.4142
AR303,0.45,344.00,53.5472,7.9550
AR304,4.47,294.00,33.8490,-116.4808
AR313,0.00,238.00,37.2183,-121.8517
AR316,0.89,248.00,48.0853,-117.4318
AR320,4.47,308.00,34.0296,-119.7861
AR321,0.00,271.00,37.4347,-122.2063
AR323,0.00,260.00,38.3803,-122.8242
AR335,0.00,64.00,39.1830,-121.3200
AR354,0.00,0.00,46.8110,-113.9367
AR365,0.00,150.00,40.1803,-105.4775
AR390,0.00,322.00,33.7920,-118.1078
AR412,0.00,309.00,63.8745,-148.9958
AR420,1.34,297.00,51.9755,9.8417
AR427,4.92,325.00,20.8778,-156.5187
AR429,1.79,104.00,32.4938,-96.9630
AR437,2.68,193.00,43.0837,-96.1670
AR450,0.00,59.00,44.9398,-95.7157
AR455,0.00,0.00,41.7180,-111.8202
AR456,0.00,288.00,31.5463,-110.2630
AR476,0.45,83.00,32.6542,-97.1703
AR487,0.45,209.00,36.9222,-93.8317
AR524,4.47,303.00,51.3212,12.3352
AR531,0.00,248.00,46.1717,-123.5800
AR534,0.00,212.00,37.7230,-119.5752
AR536,0.00,204.00,35.0425,-106.1645
AR537,0.45,209.00,35.6437,-117.6951
AR541,1.79,93.00,36.9345,-112.8853
AR549,0.00,315.00,39.0843,-104.8718
AR551,0.45,225.00,41.7402,-111.9752
AR554,0.45,162.00,35.6367,-101.4542
AR563,1.34,148.00,35.5757,-97.6298
AR565,5.81,218.00,-43.5025,172.6833
AR568,0.00,59.00,32.9453,-117.2450
AR587,0.00,244.00,30.3318,-92.0517
AR621,0.00,65.00,45.5395,-92.9780
AR622,3.58,239.00,46.3502,-120.5835
AR623,1.79,27.00,41.0790,-112.0681
AR625,0.00,97.00,32.4838,-97.8150
AR628,0.00,90.00,37.2833,-122.0027
AR638,0.45,180.00,37.9158,-122.0358
AR658,4.47,214.00,45.2148,-123.7548
AR659,4.92,147.00,44.9770,-124.0090
AR662,0.00,0.00,44.6135,-123.6503
AR672,0.00,266.00,38.3495,-121.9688
AR673,0.00,120.00,33.6053,-114.7222
AR674,0.00,292.00,45.7820,-108.7197
AR681,0.00,90.00,36.6742,-93.2110
AR683,1.34,191.00,45.4017,-122.6003
AR684,1.34,227.00,33.7075,-118.0300
AR690,1.79,142.00,47.5607,-98.3436
AR701,0.00,0.00,33.5755,-112.5787
AR705,0.00,168.00,38.9760,-92.4727
AR718,3.13,201.00,41.2459,-112.1992
AR720,0.00,229.00,40.1942,-105.0672
AR722,0.00,345.00,37.8890,-122.1083
AR725,0.89,168.00,34.2437,-117.2445
AR726,0.00,158.00,39.0267,-94.2017
AR729,0.00,32.00,39.5287,-104.9153
AR738,0.00,140.00,38.2423,-120.3700
AR744,0.00,225.00,32.7187,-114.6477
AR745,0.00,18.00,34.4988,-117.3210
AR758,0.00,360.00,45.5603,-123.9075
AR759,0.00,248.00,42.4682,-92.3637
AR763,3.58,158.00,33.0355,-97.0933
AR768,2.68,119.00,32.8853,-97.2362
AR771,0.00,0.00,33.0203,-116.8890
AR773,0.00,0.00,33.3380,-111.5860
AR777,0.00,68.00,31.5191,-97.1430
AR778,0.45,30.00,37.1013,-121.9037
AR786,1.34,262.00,33.8380,-118.3142
AR788,0.00,181.00,36.0505,-95.9030
AR789,0.00,130.00,38.6192,-92.2293
AR797,0.00,249.00,40.1167,-104.9372
AR802,0.45,257.00,44.0817,-123.0642
AR808,3.13,316.00,37.0587,-120.8080
AR809,0.00,243.00,37.0670,-120.8533
AR817,3.13,155.00,35.5772,-97.6708
AR823,0.89,153.00,37.0700,-97.0368
AR829,0.00,352.00,31.2845,-94.3178
AR834,0.00,183.00,38.6445,-122.8822
AR836,2.68,338.00,36.8160,-114.1043
AR840,0.00,148.00,30.8060,-98.9590
AR853,2.68,181.00,32.6858,-97.3923
AR863,0.45,175.00,33.7117,-96.6530
AR866,1.34,149.00,38.4199,-121.3606
AR887,0.00,0.00,32.3108,-110.8575
AR890,2.24,157.00,52.7728,0.4833
AR893,0.00,101.00,39.8068,-105.1278
AR910,2.68,113.00,28.4083,-96.6313
AR912,3.13,275.00,-37.8638,176.4905
AR942,0.00,0.00,38.7008,-93.2845
AR951,0.00,90.00,45.2612,12.1178
AR953,0.00,158.00,30.6312,-97.6058
AR957,3.13,221.00,34.8240,137.7473
AR958,1.79,165.00,35.4280,139.3840
AR969,1.34,174.00,45.4787,-122.3867
AR970,1.79,192.00,42.3363,-98.4567
AR979,0.00,357.00,40.5995,-122.3747
AR983,1.79,179.00,35.6363,-117.7023
AR984,0.00,179.00,43.3398,-5.8523
AR987,0.00,71.00,37.6992,-121.4437
AR989,1.34,191.00,53.5639,-1.7540
AR991,4.47,168.00,51.3775,1.3097
AS015,0.00,0.00,38.4414,-120.0715
AS022,1.34,310.00,44.1323,-93.9897
AS035,0.00,260.00,34.3775,-111.2237
AS048,1.79,129.00,32.9150,-96.6227
AS050,0.00,145.00,32.6740,-97.6217
AS057,2.24,127.00,50.4318,-3.5743
AS059,1.79,181.00,-36.3617,148.8278
AS061,1.79,107.00,39.0386,-119.7219
AS062,0.00,337.00,39.5632,-107.3353
AS070,4.47,199.00,46.0408,-118.2213
AS082,0.89,110.00,49.9703,-98.3117
AS090,0.00,140.00,30.1068,-97.8798
AS100,0.00,140.00,30.1100,-97.9105
AS103,0.00,186.00,38.6787,-94.4178
AS105,1.34,332.00,44.3753,-108.0403
AS106,0.00,229.00,37.9083,-122.5757
AS116,1.79,194.00,65.4850,-144.6850
AS120,0.00,338.00,37.7757,-3.7910
AS124,0.00,161.00,39.2947,-119.7787
AS144,0.00,33.00,44.9965,-120.2120
AS145,0.45,146.00,43.4200,-102.1847
AS149,0.00,90.00,46.1493,8.9140
AS158,0.00,135.00,30.9734,-95.8264
AS160,0.45,79.00,65.0925,25.4125
AS161,0.00,0.00,39.1009,-94.4202
AS162,0.00,0.00,39.0505,-94.4065
AS163,0.00,0.00,39.0893,-94.4567
AS165,0.00,0.00,39.0582,-94.4443
AS167,0.00,0.00,39.0792,-94.3822
AS175,0.89,212.00,39.0928,-94.4022
AS176,0.00,188.00,33.7575,-118.3669
AS186,0.00,0.00,41.0915,-111.9260
AS187,0.00,0.00,50.9630,7.0978
AS191,0.00,0.00,45.1836,-123.9346
AS192,0.00,314.00,45.8543,-122.8189
AS193,0.00,158.00,56.6452,16.4630
AS201,0.00,160.00,39.8525,-104.9095
AS203,1.34,208.00,50.8112,0.0322
AS208,0.89,125.00,32.1244,-107.7690
